LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-01,99.92836,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-02,99.78008,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-03,99.23208,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.47786,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.26568,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.38844,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.5582,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.66855,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.7326,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.81897,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-11,99.14163,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2020-12,99.52694,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2021-01,99.79951,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2021-02,100.0439,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2021-03,100.4551,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2021-04,100.9714,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2021-05,101.4478,
NLD,CCI,AMPLITUD,LTRENDIDX,M,2021-06,101.8953,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-01,100.7433,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-02,100.8139,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-03,100.8604,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-04,100.8975,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-05,100.9363,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-06,100.9716,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-07,100.9681,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-08,100.8606,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-09,100.5939,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-10,100.2652,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-11,100.0033,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2014-12,99.90925,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-01,99.92978,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-02,100.0011,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-03,100.0776,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.1101,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.0317,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-06,99.7875,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-07,99.47589,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-08,99.22224,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-09,99.12042,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-10,99.11632,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-11,99.14429,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2015-12,99.166,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-01,99.17713,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-02,99.18569,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-03,99.2009,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-04,99.22467,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-05,99.25987,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-06,99.30997,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-07,99.36728,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-08,99.42606,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-09,99.48823,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-10,99.56783,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-11,99.68954,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2016-12,99.86979,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.0558,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-02,100.1733,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-03,100.1678,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.1156,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.1205,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-06,100.2584,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-07,100.464,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.6483,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-09,100.7491,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-10,100.8017,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-11,100.857,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2017-12,100.9477,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.0518,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-02,101.1272,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-03,101.1319,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-04,101.0746,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-05,100.9549,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-06,100.7662,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-07,100.561,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-08,100.4053,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-09,100.3496,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-10,100.3505,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-11,100.3554,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2018-12,100.3305,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-01,100.2848,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-02,100.2359,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-03,100.196,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-04,100.1618,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-05,100.123,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.0664,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-07,99.98368,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-08,99.86156,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-09,99.69859,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-10,99.56075,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-11,99.52978,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2019-12,99.62608,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-01,99.62502,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-02,99.17668,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-03,98.0231,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-04,96.66272,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-05,95.79182,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-06,95.9528,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-07,96.69291,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-08,97.44218,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-09,97.81236,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-10,97.88651,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-11,97.81198,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2020-12,97.68932,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2021-01,97.60992,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2021-02,97.67541,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2021-03,97.97382,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2021-04,98.41089,
CHE,CCI,AMPLITUD,LTRENDIDX,M,2021-05,98.89392,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-01,97.63496,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-02,97.73257,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-03,97.76672,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-04,97.68353,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-05,97.58121,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-06,97.5252,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-07,97.56094,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-08,97.56142,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-09,97.5191,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-10,97.57534,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-11,97.82424,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2014-12,98.19688,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-01,98.56992,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-02,98.89963,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-03,99.08711,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-04,99.15527,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-05,99.09104,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-06,99.04549,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-07,99.04037,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-08,99.22237,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-09,99.48077,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-10,99.68264,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-11,99.83164,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2015-12,99.83632,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-01,99.71869,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-02,99.40096,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-03,99.151,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-04,99.15504,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-05,99.32069,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-06,99.33253,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-07,99.32077,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-08,99.37263,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-09,99.54414,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-10,99.74864,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-11,99.97268,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2016-12,100.0715,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.0217,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-02,99.94192,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-03,99.99304,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.2797,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.7693,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.2733,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.2854,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.9976,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-09,100.7514,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-10,100.7593,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-11,100.9939,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.1204,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.0064,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-02,100.7448,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-03,100.5292,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-04,100.29,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-05,100.059,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-06,99.85055,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-07,99.71445,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-08,99.46716,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-09,99.09621,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-10,98.7691,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-11,98.31035,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-12,98.03512,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-01,98.31406,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-02,98.77577,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-03,99.13046,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-04,99.36372,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-05,99.62022,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-06,99.8811,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.1842,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.4228,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.6385,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.6632,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.5298,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.238,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,99.97796,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,99.58702,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,98.75065,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,97.89973,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.82528,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.26472,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.66168,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.85883,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.82021,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.46375,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.147,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.27856,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.29388,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,98.52029,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.17825,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.97614,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.8231,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,101.7164,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-01,99.6282,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-02,99.75942,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-03,99.97904,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-04,100.1391,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-05,100.2497,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-06,100.18,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-07,99.94479,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-08,99.8936,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-09,99.97232,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-10,100.2115,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-11,100.4292,
POL,CCI,AMPLITUD,LTRENDIDX,M,2014-12,100.508,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-01,100.4558,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-02,100.5251,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-03,100.67,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-04,100.8338,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-05,100.7846,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-06,100.5671,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-07,100.3332,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-08,100.2222,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-09,100.2368,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-10,100.4735,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-11,100.77,
POL,CCI,AMPLITUD,LTRENDIDX,M,2015-12,101.0054,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-01,101.1009,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-02,101.1228,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-03,101.2264,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-04,101.3359,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-05,101.3592,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-06,101.3955,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-07,101.4546,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-08,101.4794,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-09,101.5257,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-10,101.4985,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-11,101.4242,
POL,CCI,AMPLITUD,LTRENDIDX,M,2016-12,101.4576,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-01,101.5785,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-02,101.5389,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-03,101.4572,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-04,101.4203,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-05,101.4467,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.4634,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.5182,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.6831,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.9208,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.9983,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-11,102.0046,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-12,102.0748,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-01,102.2041,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-02,102.2582,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-03,102.26,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-04,102.3563,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-05,102.458,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-06,102.5607,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-07,102.5444,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-08,102.4075,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-09,102.324,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-10,102.2429,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-11,102.1912,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-12,102.1557,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-01,102.2741,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-02,102.493,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-03,102.5289,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-04,102.3841,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-05,102.4107,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-06,102.6205,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-07,102.7379,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-08,102.7056,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-09,102.567,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-10,102.3595,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-11,102.2726,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-12,102.2004,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-01,101.9873,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-02,101.4203,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-03,100.3235,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.68792,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.06605,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.34116,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.82581,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.92028,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.64099,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.34724,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.10682,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.12876,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.30856,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-02,98.72267,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.25013,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.91318,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.469,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-06,100.7399,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-01,99.99665,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-02,100.2818,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-03,100.7861,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-04,101.181,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-05,101.339,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-06,101.3478,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-07,101.1344,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-08,101.0017,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-09,101.2149,
CZE,CCI,AMPLITUD,LTRENDIDX,M,2014-10,101.7782,
